,player_type,player,result
1170,nice,0,win via score
1171,nice,0,win via score
1172,nice,0,win via score
1173,nice,0,win via score
1174,nice,0,win via score
1175,nice,0,win via score
1176,rand,2,win via score
1177,rand,3,win via score
1178,rand,2,win via score
1179,rand,2,win via score
1180,nice,0,win via score
1181,nice,0,win via score
1182,nice,0,win via score
1183,rand,3,win via score
1184,rand,3,win via score
1185,nice,0,win via score
1186,nice,0,win via score
1187,nice,0,win via score
1188,rand,3,win via score
1189,nice,0,win via score
1190,rand,2,win via score
1191,rand,2,win via score
1192,nice,0,win via score
1193,nice,0,win via score
1194,nice,0,win via score
1195,nice,0,win via score
1196,rand,2,win via score
1197,nice,0,win via score
1198,rand,3,win via score
1199,nice,0,win via score
1200,rand,2,win via score
1201,nice,0,win via score
1202,rand,2,win via score
1203,nice,0,win via score
1204,nice,0,win via score
1205,nice,0,win via score
1206,rand,2,win via score
1207,nice,0,win via score
1208,nice,0,win via score
1209,nice,0,win via score
1210,rand,3,win via score
1211,nice,0,win via score
1212,nice,0,win via score
1213,nice,0,win via score
1214,rand,3,win via score
1215,rand,3,win via score
1216,nice,0,win via score
1217,nice,0,win via score
1218,rand,3,win via score
1219,nice,0,win via score
1220,nice,0,win via score
1221,rand,3,win via score
1222,rand,2,win via score
1223,nice,0,win via score
1224,nice,0,win via score
1225,rand,3,win via score
1226,rand,3,win via score
1227,rand,3,win via score
1228,nice,0,win via score
1229,rand,2,win via score
1230,rand,2,win via score
1231,nice,0,win via score
1232,nice,0,win via score
1233,nice,0,win via score
1234,rand,3,win via score
1235,nice,0,win via score
1236,nice,0,win via score
1237,rand,3,win via score
1238,rand,2,win via score
1239,rand,2,win via score
1240,nice,0,win via score
1241,rand,2,win via score
1242,nice,0,win via score
1243,rand,3,win via score
