,player,result
1055,2,win via score
1056,3,win via score
1057,3,win via score
1058,3,win via elim
1059,3,win via score
1060,1,win via score
1061,0,win via score
1062,1,win via score
1063,1,win via score
1064,1,win via score
1065,1,win via score
1066,2,win via elim
1067,0,win via score
1068,1,win via score
1069,1,win via score
1070,2,win via score
1071,2,win via score
1072,1,win via score
1073,2,win via score
1074,3,win via score
1075,3,win via score
1076,3,win via score
1077,0,win via score
1078,0,win via score
1079,2,win via score
1080,0,win via score
1081,3,win via score
1082,3,win via score
1083,2,win via score
1084,2,win via score
1085,1,win via score
1086,0,win via score
1087,1,win via score
1088,1,win via score
1089,2,win via score
1090,0,win via score
1091,1,win via elim
1092,3,win via score
1093,2,win via score
1094,3,win via score
1095,2,win via score
1096,3,win via score
1097,2,win via score
1098,3,win via score
1099,3,win via elim
1100,1,win via score
1101,0,win via score
1102,1,win via score
1103,2,win via score
1104,3,win via score
1105,3,win via score
1106,3,win via score
1107,0,win via score
1108,3,win via score
1109,0,win via score
1110,1,win via score
1111,1,win via score
1112,0,win via score
1113,3,win via score
1114,1,win via score
1115,1,win via score
1116,2,win via score
1117,2,win via score
1118,2,win via score
1119,1,win via score
1120,0,win via score
1121,3,win via score
1122,1,win via score
1123,2,win via score
1124,1,win via score
1125,0,win via score
1126,2,win via score
1127,3,win via score
1128,0,win via score
1129,0,win via score
1130,3,win via score
1131,1,win via score
1132,3,win via score
1133,3,win via score
1134,1,win via score
1135,3,win via score
1136,0,win via score
1137,3,win via score
1138,0,win via score
1139,3,win via score
1140,2,win via score
1141,2,win via score
1142,2,win via score
1143,3,win via score
1144,1,win via score
1145,3,win via score
1146,1,win via score
1147,0,win via score
1148,1,win via score
1149,2,win via elim
1150,3,win via score
1151,1,win via score
1152,2,win via score
1153,0,win via score
1154,1,win via score
1155,2,win via score
1156,2,win via elim
1157,1,win via score
1158,2,win via score
1159,3,win via score
1160,3,win via score
1161,0,win via score
1162,3,win via score
1163,1,win via score
1164,1,win via score
1165,2,win via score
1166,1,win via score
1167,2,win via score
1168,0,win via score
1169,1,win via score
1170,0,win via score
1171,2,win via score
1172,0,win via score
1173,1,win via score
1174,2,win via score
1175,0,win via score
1176,0,win via score
1177,2,win via score
1178,2,win via elim
1179,0,win via score
1180,2,win via score
1181,0,win via score
1182,2,win via score
1183,1,win via score
1184,0,win via score
1185,3,win via score
1186,1,win via score
1187,3,win via score
1188,1,win via score
1189,2,win via score
1190,2,win via score
1191,3,win via score
1192,3,win via score
1193,1,win via score
1194,2,win via score
1195,2,win via score
1196,3,win via score
1197,3,win via elim
1198,3,win via score
1199,3,win via score
1200,1,win via score
1201,0,win via score
1202,2,win via score
1203,1,win via score
1204,1,win via score
1205,0,win via score
1206,2,win via score
1207,2,win via score
1208,1,win via score
1209,0,win via score
1210,3,win via score
1211,3,win via score
1212,2,win via score
1213,1,win via score
1214,3,win via elim
1215,0,win via score
1216,0,win via score
1217,2,win via score
1218,1,win via score
1219,3,win via score
1220,2,win via score
1221,3,win via score
1222,2,win via score
1223,1,win via score
1224,3,win via score
1225,3,win via score
1226,1,win via score
1227,0,win via score
1228,0,win via score
1229,2,win via score
1230,0,win via score
1231,1,win via score
1232,3,win via score
1233,3,win via score
1234,1,win via score
1235,2,win via score
1236,3,win via score
1237,3,win via score
1238,1,win via score
1239,3,win via score
1240,0,win via score
1241,2,win via score
1242,2,win via score
1243,3,win via score
1244,3,win via score
1245,2,win via elim
1246,0,win via score
1247,3,win via score
1248,1,win via score
1249,2,win via score
1250,0,win via score
1251,3,win via score
1252,1,win via score
1253,2,win via score
1254,0,win via score
1255,0,win via score
1256,0,win via score
1257,1,win via score
1258,2,win via score
1259,2,win via score
1260,3,win via score
1261,1,win via score
1262,0,win via score
1263,2,win via score
1264,2,win via score
1265,1,win via score
1266,2,win via score
1267,1,win via score
1268,1,win via score
1269,3,win via score
1270,0,win via score
1271,1,win via score
1272,0,win via score
1273,0,win via score
1274,2,win via score
1275,2,win via score
1276,2,win via score
1277,0,win via score
1278,3,win via score
1279,0,win via score
1280,2,win via score
1281,0,win via score
1282,3,win via score
1283,2,win via score
1284,3,win via score
1285,3,win via score
1286,0,win via score
1287,0,win via score
1288,3,win via score
1289,2,win via score
1290,3,win via elim
1291,3,win via score
1292,2,win via score
1293,3,win via score
1294,1,win via score
1295,0,win via score
1296,0,win via score
1297,2,win via score
1298,1,win via score
1299,3,win via score
1300,2,win via score
1301,3,win via score
1302,3,win via score
1303,0,win via score
1304,0,win via score
1305,3,win via score
1306,3,win via score
1307,0,win via score
1308,1,win via score
1309,3,win via score
1310,1,win via score
1311,2,win via score
1312,1,win via score
1313,3,win via score
1314,0,win via score
1315,3,win via score
1316,3,win via score
1317,0,win via score
1318,3,win via score
1319,2,win via score
1320,0,win via score
1321,0,win via score
1322,2,win via score
1323,0,win via score
1324,0,win via score
1325,2,win via score
1326,1,win via score
1327,3,win via score
1328,2,win via score
1329,1,win via score
1330,1,win via score
1331,3,win via score
1332,1,win via score
1333,1,win via score
1334,0,win via score
1335,1,win via score
1336,1,win via score
1337,1,win via score
1338,0,win via score
1339,0,win via score
1340,3,win via score
1341,1,win via score
1342,2,win via score
1343,1,win via score
1344,2,win via score
1345,3,win via score
1346,1,win via score
1347,1,win via score
1348,0,win via score
1349,3,win via score
1350,0,win via score
1351,2,win via score
1352,0,win via score
1353,3,win via score
1354,3,win via score
1355,0,win via score
1356,1,win via score
1357,3,win via score
1358,1,win via score
1359,0,win via score
1360,3,win via score
1361,0,win via score
1362,1,win via score
1363,1,win via score
1364,2,win via score
1365,1,win via score
1366,3,win via score
1367,0,win via score
1368,3,win via score
1369,2,win via score
1370,0,win via score
1371,3,win via score
1372,0,win via score
1373,1,win via score
1374,3,win via score
1375,3,win via score
1376,2,win via score
1377,0,win via score
1378,1,win via score
1379,3,win via score
1380,1,win via score
1381,2,win via score
1382,0,win via score
1383,3,win via score
1384,2,win via score
1385,3,win via score
1386,0,win via score
1387,1,win via score
1388,2,win via score
1389,3,win via score
1390,1,win via score
1391,2,win via score
1392,0,win via score
1393,0,win via score
1394,2,win via score
1395,0,win via score
1396,1,win via score
1397,2,win via score
1398,2,win via score
1399,2,win via score
1400,0,win via score
1401,3,win via score
1402,0,win via score
1403,0,win via score
1404,3,win via score
1405,0,win via score
1406,1,win via score
1407,2,win via score
1408,0,win via elim
1409,1,win via score
1410,3,win via score
1411,0,win via score
1412,1,win via score
1413,2,win via elim
1414,1,win via score
1415,1,win via score
1416,0,win via score
1417,0,win via score
1418,3,win via score
1419,3,win via score
1420,2,win via score
1421,2,win via score
1422,2,win via score
1423,2,win via score
1424,2,win via score
1425,1,win via score
1426,0,win via score
1427,2,win via score
1428,2,win via score
1429,2,win via score
1430,1,win via score
1431,0,win via score
1432,3,win via score
1433,1,win via score
1434,3,win via score
1435,0,win via score
1436,0,win via score
1437,1,win via score
1438,3,win via score
1439,2,win via score
1440,0,win via score
1441,3,win via score
1442,2,win via score
1443,0,win via score
1444,3,win via score
1445,3,win via score
1446,3,win via score
1447,2,win via score
1448,1,win via score
1449,1,win via score
1450,1,win via score
1451,2,win via score
1452,2,win via score
1453,2,win via score
1454,1,win via score
1455,1,win via score
1456,2,win via score
1457,3,win via score
1458,0,win via score
1459,1,win via score
1460,1,win via score
1461,2,win via score
1462,3,win via score
1463,0,win via score
1464,2,win via score
1465,2,win via score
1466,0,win via score
1467,3,win via score
1468,1,win via score
1469,2,win via score
1470,2,win via score
1471,1,win via score
1472,0,win via score
1473,3,win via score
1474,2,win via score
1475,2,win via score
1476,0,win via score
1477,3,win via score
1478,1,win via score
1479,1,win via score
1480,3,win via score
1481,3,win via score
1482,2,win via score
1483,2,win via score
1484,3,win via score
1485,1,win via score
1486,1,win via score
1487,0,win via score
1488,0,win via score
1489,0,win via score
1490,1,win via score
1491,3,win via score
1492,1,win via score
1493,1,win via score
1494,3,win via score
1495,0,win via score
1496,0,win via score
1497,3,win via score
1498,3,win via score
1499,1,win via score
1500,1,win via elim
1501,0,win via score
1502,1,win via score
1503,3,win via score
1504,1,win via score
1505,3,win via score
1506,3,win via score
1507,0,win via score
1508,2,win via score
1509,2,win via score
1510,2,win via score
1511,1,win via score
1512,2,win via score
1513,3,win via elim
1514,2,win via score
1515,0,win via score
1516,2,win via score
1517,1,win via score
1518,2,win via score
1519,3,win via score
1520,0,win via score
1521,0,win via score
1522,3,win via score
1523,3,win via score
1524,0,win via score
1525,3,win via score
1526,3,win via score
1527,1,win via score
1528,0,win via score
1529,3,win via score
1530,3,win via elim
1531,1,win via score
1532,1,win via score
1533,1,win via score
1534,2,win via score
1535,1,win via score
1536,1,win via score
1537,2,win via score
1538,2,win via score
1539,3,win via score
1540,2,win via score
1541,3,win via score
1542,0,win via score
1543,1,win via score
1544,3,win via score
1545,2,win via score
1546,0,win via score
1547,2,win via score
1548,1,win via score
1549,1,win via elim
1550,1,win via score
1551,3,win via score
1552,2,win via score
1553,2,win via score
1554,3,win via score
1555,1,win via score
1556,2,win via score
1557,3,win via score
1558,1,win via score
1559,0,win via score
1560,2,win via score
1561,0,win via score
1562,2,win via score
1563,2,win via score
1564,2,win via score
1565,0,win via score
1566,3,win via score
1567,3,win via score
1568,3,win via score
1569,3,win via score
1570,3,win via score
1571,0,win via score
1572,0,win via score
1573,3,win via score
1574,2,win via score
1575,2,win via score
1576,1,win via elim
1577,0,win via score
1578,3,win via score
1579,3,win via score
1580,0,win via score
1581,3,win via score
1582,0,win via score
1583,0,win via score
1584,3,win via score
1585,0,win via elim
1586,0,win via score
1587,2,win via score
1588,2,win via score
1589,0,win via score
1590,2,win via score
1591,1,win via score
1592,1,win via score
1593,0,win via score
1594,1,win via score
1595,1,win via score
1596,2,win via score
1597,1,win via score
1598,1,win via score
1599,1,win via score
1600,2,win via score
1601,0,win via score
1602,3,win via score
1603,1,win via score
1604,3,win via score
1605,0,win via score
1606,0,win via score
1607,2,win via score
1608,0,win via score
1609,0,win via score
1610,2,win via score
1611,0,win via score
1612,0,win via score
1613,2,win via score
1614,2,win via score
1615,0,win via score
1616,3,win via score
1617,3,win via score
1618,0,win via score
1619,3,win via score
1620,2,win via elim
1621,3,win via score
1622,0,win via score
1623,0,win via score
1624,2,win via score
1625,0,win via score
1626,1,win via score
