,eps_num,w_diff,result
467,467.0,1.9556382395023787e+168,other player no skull
468,468.0,6.844733838258325e+168,other player no skull
469,469.0,1.295052724315907e+168,attempt won
470,470.0,2.3851940637592767e+168,0.0
471,471.0,1.0204133593644894e+170,attempt loss
472,472.0,3.264211123736068e+169,0.0
473,473.0,4.0374109539653225e+170,other player skull
474,474.0,6.39116753014711e+170,other player skull
475,475.0,3.834700518088265e+171,other player skull
476,476.0,2.6535980345452225e+171,other player skull
477,477.0,2.107716952889376e+172,other player skull
478,478.0,2.890524030180575e+172,attempt loss
479,479.0,2.9725505770559284e+173,other player no skull
480,480.0,1.207519998706977e+172,0.0
481,481.0,3.622559996120931e+172,other player no skull
482,482.0,9.678359539656819e+172,other player no skull
483,483.0,1.935671907931364e+173,other player no skull
484,484.0,1.1276728217151658e+174,other player no skull
485,485.0,2.35715108377882e+174,attempt loss
486,486.0,1.545528329344298e+175,attempt loss
487,487.0,9.585218984578908e+174,other player no skull
488,488.0,7.712356233807351e+175,other player skull
489,489.0,1.5757227545680404e+175,0.0
490,490.0,4.6271142114094626e+176,attempt won
491,491.0,4.060694056913947e+177,other player skull
492,492.0,4.369290841878556e+176,other player no skull
493,493.0,2.3663277514333053e+177,other player skull
494,494.0,3.326989779396496e+178,other player skull
495,495.0,3.0172406818303647e+178,0.0
496,496.0,2.4960445644471057e+178,other player skull
497,497.0,1.044819025673439e+178,attempt loss
498,498.0,2.3828533668659817e+178,attempt won
499,499.0,1.4325391755408508e+179,attempt loss
500,500.0,1.2176582992097232e+180,attempt loss
501,501.0,7.088307774116298e+177,0.0
502,502.0,2.3469447980174384e+179,other player skull
503,503.0,1.1417992732128366e+180,other player skull
504,504.0,6.680392162310915e+180,other player skull
505,505.0,6.909699898711019e+181,other player no skull
506,506.0,3.449485821233894e+180,0.0
507,507.0,9.497750170091416e+181,other player no skull
508,508.0,6.227480494897748e+182,other player skull
509,509.0,2.997377727281005e+182,other player no skull
510,510.0,5.464077515531625e+182,other player skull
511,511.0,1.092815503106325e+183,other player skull
512,512.0,3.0981112728727105e+183,other player no skull
513,513.0,2.446701475422121e+183,attempt loss
514,514.0,1.7308810220909323e+184,other player skull
515,515.0,3.589967511394237e+184,other player no skull
516,516.0,6.96545391134082e+185,other player skull
517,517.0,2.2540751115557293e+184,0.0
518,518.0,3.5224572202930066e+185,attempt loss
519,519.0,1.1929106140672746e+186,0.0
520,520.0,3.3735959292602527e+187,other player no skull
521,521.0,4.777357401435867e+186,other player skull
522,522.0,3.807828173917812e+187,other player skull
523,523.0,2.1829467565644358e+188,other player no skull
524,524.0,1.18647131853542e+189,other player skull
525,525.0,2.7743429965432922e+188,attempt loss
526,526.0,1.5640034753749788e+189,other player no skull
527,527.0,4.0893759820639146e+189,other player no skull
528,528.0,4.2692067497967747e+189,0.0
529,529.0,1.8850752142112138e+187,0.0
530,530.0,3.649234967652484e+189,0.0
531,531.0,8.4654808019120845e+189,other player skull
532,532.0,6.768431528871018e+190,attempt loss
533,533.0,8.218731828351458e+190,other player skull
534,534.0,5.40282536329488e+191,other player no skull
535,535.0,3.894718510672439e+191,other player no skull
536,536.0,2.1182388976259739e+192,attempt loss
537,537.0,3.9614355056760837e+192,other player skull
538,538.0,1.7746239821930204e+193,0.0
539,539.0,5.487572114880722e+192,attempt loss
540,540.0,1.2661775301966823e+193,other player no skull
541,541.0,1.2023096379817938e+194,attempt loss
542,542.0,1.1167130502595794e+195,other player no skull
543,543.0,9.185829439389626e+193,other player no skull
544,544.0,9.235541829601582e+194,other player skull
545,545.0,5.48567042503208e+195,other player skull
546,546.0,8.467188222976278e+195,0.0
547,547.0,2.009859272616579e+197,attempt loss
548,548.0,9.204190222702738e+195,other player no skull
549,549.0,5.644544303462579e+196,other player no skull
550,550.0,7.239948118035935e+195,0.0
551,551.0,1.2749063557344586e+197,0.0
552,552.0,8.448755894198033e+197,other player skull
553,553.0,1.24772184163336e+198,other player skull
554,554.0,9.887068897220156e+198,attempt loss
555,555.0,2.7459457171126507e+198,0.0
556,556.0,1.8905041802501854e+199,other player skull
557,557.0,4.102204865078149e+199,attempt loss
558,558.0,1.435771702777352e+200,other player skull
559,559.0,4.351897049110021e+199,other player no skull
560,560.0,1.17878782428872e+200,other player no skull
561,561.0,3.8684860039396656e+200,other player skull
562,562.0,1.3539701013788828e+201,other player skull
563,563.0,2.6876946138410358e+200,other player no skull
564,564.0,1.0992678159681656e+201,attempt loss
565,565.0,6.662394199603261e+201,other player skull
566,566.0,4.81048809946758e+201,0.0
567,567.0,3.298425842108458e+203,attempt loss
568,568.0,4.2460542562041227e+200,0.0
569,569.0,1.7265016477450265e+202,other player no skull
570,570.0,3.284406497160649e+203,other player no skull
571,571.0,1.5339150025006244e+204,other player no skull
572,572.0,6.902617511252809e+204,other player no skull
573,573.0,3.626516432630219e+204,other player no skull
